,店舗名,店舗名カナ,郵便番号,住所,電話番号,FAX番号,e-mailアドレス,ホームページアドレス,最寄りの交通機関,営業時間,定休日,業種,店舗緯度,店舗経度,おむつ替え設備,授乳の場,子供用補助便座,妊婦用駐車場,障害者用駐車場,ミルクのお湯を提供,こどもと遊べる場,ベビーカー,利用可能時間
443,道の駅源平の里　むれ,みちのえきげんぺいのさと　むれ,761-0123,香川県高松市牟礼町原631-7,087-845-6080,087-845-6083,,http://www.genpei-mure.com,琴電志度線　塩屋駅、房前駅,9時～18時（3月～10月）、9時～17時（11月～2月）,なし,"買う, 食べる, 見る・遊ぶ, 通信・情報",34.333725,134.157497,○,○,　,○,○,○,○,　,9時 ～ 18時（3月～10月）、9時 ～ 17時（11月～2月）
444,「道の駅」しおのえ・観光物産センターしおのえ,みちのえきしおのえ　かんこうぶっさんせんたーしおのえ,761-1612,香川県高松市塩江町安原上東390-1,087-893-1378,,,,,時 ～ 時、時 ～ 時、時 ～ 時,火曜日,,34.170346,134.082043,○,　,○,　,　,　,　,　,"3月～10月　8時～19時,11月～2月　8時～18時"
445,道の駅　ふれあいパークみの物産館,みちのえきふれあいぱーくみのぶっさんかん,767-0031,香川県三豊市三野町大見乙74番地,0875-72-5300,,,,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休,,34.226348,133.722855,○,　,○,　,　,　,　,　,8時30分～17時
446,三都ふれあいセンター,みと,761-4307,香川県小豆郡小豆島町蒲野1610-1,0879-76-0262,,,,,8時30分～22時,日曜日・祝日・年末年始,,34.442977,134.250698,○,○,○,　,　,　,　,　,8時30分～22時
447,ミニチュア児遊館,みにゅちゅあじゆうかん,769-2604,香川県東かがわ市西村1155,0879-25-0055,,,http://www.toramaru.jp,,9時～17時,月曜日（月曜日が祝日の場合は翌日）、年末,,34.239972,134.314883,○,○,○,　,　,　,　,　,9時～17時
448,宮脇書店総本店,みやわきしょてんそうほんてん,760-0064,香川県高松市朝日新町3-4,087-823-3152,,,http://www.miyawakishoten.com/,,時 ～ 時、時 ～ 時、時 ～ 時,不定休,,34.357214,134.065606,○,○,○,　,　,　,　,　,10時～21時
449,宮脇書店南本店,みやわきしょてんみなみほんてん,761-8071,香川県高松市伏石町2139-11,087-869-9361,,,http://www.miyawakishoten.com/,,時 ～ 時、時 ～ 時、時 ～ 時,不定休,,34.309363,134.060831,○,　,○,　,　,　,　,　,10時～23時
450,名物かまど　坂出駅南口店,めいぶつかまどさかいでえきみなみぐちてん,762-0032,香川県坂出市駒止町1丁目3番4号,0877-46-2178,,,http://www.kamado.co.jp,,9時～19時30分,なし,,34.311976,133.856683,○,　,○,　,　,　,　,　,9時～19時30分
451,名物かまど　高松東店,めいぶつかまどたかまつひがしてん,761-0313,香川県高松市下田井町631-1,087-840-7330,,,http://www.kamado.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.290802,134.089466,○,　,○,　,　,　,　,　,9時～19時30分
452,メディコ21桜町店,めでぃこにじゅういちさくらまちてん,760-0074,香川県高松市桜町2丁目15番52号,087-812-5833,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.325412,134.051544,　,　,○,○,　,　,　,　,10時～21時
453,焼肉香らん　サンフラワー通り店,やきにくこうらん　さんふらわーどおりてん,761-8071,香川県高松市伏石町2111-16,087-869-1161,,,,,時 ～ 時、時 ～ 時、時 ～ 時,火曜日（祝日の場合は営業）,,34.310414,134.053584,　,　,○,○,　,　,　,　,16時 ～ 24時
454,焼肉香蘭　花園店,やきにくこうらん　はなぞのてん,760-0063,香川県高松市多賀町3丁目12番1号,087-834-6266,,,,,13時～24時,水曜日（祝日の場合は営業）,,34.337086,134.061482,　,　,○,○,　,　,　,　,13時 ～ 24時
455,やしま第一健康ランド,やしまだいいちけんこうらんど,761-0113,香川県高松市屋島西町2274-5,087-841-1126,,,http://www.yashimadaiichikenkoland.com/,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休,,34.362,134.090889,○,　,○,　,　,　,　,　,24時間営業
456,山かつ　丸亀店,やまかつ　まるがめてん,763-0071,香川県丸亀市田村町字池の下961－1,0877-22-8110,0877-22-8110,marugame@yamanoce.co.jp,http://www.yamanoce.co.jp/yamakatsu/shop/#shop05,JR丸亀駅,平日11時 ～ 15時 LO14時30分、平日17時 ～ 21時30分 LO21時、土日祝11時 ～ 21時30分 LO21時,不定休,食べる,34.266978,133.799906,○,　,○,○,○,○,　,　,11時 ～ 21時30分
457,有限会社　かなくま餅,ゆうげんがいしゃ　かなくまもち,768-0012,香川県観音寺市植田町35-2,0875-25-3044,0875-25-9586,kanakanar11@gmail.com,,JR四国観音寺駅,8時 ～ 17時、土曜・祝日は麺切れの場合早めに終了,毎週日曜、年末28日～31日は餅販売のみ営業、年始～1月6日,"買う, 食べる",34.124393,133.686074,○,　,○,　,　,○,　,　,8時 ～ 17時
458,ゆめタウン高松,ゆめたうんたかまつ,761-8072,香川県高松市三条町608-1,087-869-7500,,,http://www.izumi.co.jp/youmetown/takamatsu/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.316999,134.041334,○,○,○,　,　,　,　,　,10時～22時
459,ゆめタウン丸亀,ゆめたうんまるがめ,763-0055,香川県丸亀市新田町150,0877-21-0123,,,http://www.izumi.co.jp/youmetown/marugame/,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.273544,133.785405,○,○,○,○,　,　,　,　,10時～21時
460,ゆめタウン三豊,ゆめたうんみとよ,769-1506,香川県三豊市豊中町本山甲22番地,0875-62-6600,,,http://www.izumi.co.jp/youmetown/mitoyo/,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.145431,133.699405,○,○,　,○,　,　,　,　,10時～21時
461,ユメックスCUBE,ゆめっくすきゅーぶ,761-0301,香川県高松市林町2537-10,087-814-3751,087-814-3851,sako@yumex-g.co.jp,http://www.yumex-g.co.jp/,さこバス停　徒歩約6分,10時 ～19 時,毎週水曜日　年末年始,住まい,34.305766,134.066374,○,○,○,　,○,○,○,　,10時 ～19 時
462,湯楽温泉,ゆらくおんせん,760-0080,香川県高松市木太町6区2750-3,087-833-2611,,,http://www.yuurakuonsen.com/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,その月の第1月曜日（但し、祝日の場合火曜日）,,34.337358,134.084473,○,　,○,○,　,　,　,　,10時～24時
463,ユープラザうたづ,ゆーぷらざうたづ,769-0206,香川県綾歌郡宇多津町浜六番丁88番地,0877-49-8020,,,http://www.uplaza-utazu.jp/,,9時～21時,月曜日・12月28日～翌1月4日,,34.305661,133.816613,○,○,○,○,　,　,　,　,9時～21時
464,有限会社　ユーミーマンションあるかな,ゆーみーまんしょんあるかな,761-8071,香川県高松市伏石町2062-2　ユーミー伏石1階,087-869-4152,,,http://www.arukana.com,,時 ～ 時、時 ～ 時、時 ～ 時,水曜日・祝祭日,,34.312483,134.053384,　,　,○,○,　,　,　,　,8時30分～17時30分
465,与島プラザ,よしまぷらざ,762-0071,香川県坂出市与島町西方587番地,0877-43-0502,,,http://www.jb-honshi.co.jp/seto-ohashi/sapa/yoshima1.html,,0時～24時,なし,,34.385707,133.815354,○,○,○,○,　,　,　,　,0時～24時
466,宮地電機株式会社　ラ・ヴィータ高松店,らびーたたかまつてん,760-0080,香川県高松市木太町4区2173番地,087-834-1181,,,http://la-vita.co.jp/interior/shop-takamatsu.html,,時 ～ 時、時 ～ 時、時 ～ 時,水曜日（祝日を除く）,,34.334217,134.07287,○,○,　,　,　,　,　,　,10時～19時
467,リビングイソザキ宇多津店,りびんぐいそざきうたづてん,769-0206,香川県綾歌郡宇多津町浜六番丁82番3,0877-49-4646,,,,,10時～18時,木曜日,,34.304604,133.815736,○,　,○,　,　,　,　,　,10時～18時
468,リビングココイチ,りびんぐここいち,761-8031,香川県高松市郷東町216,087-832-9023,087-832-9033,,https://www.living-cocoichi.com/,JR　高松・香西駅／ことでんバス（イオン高松線・下笠居線・香西線）,9時 ～ 17時,日曜・祝日,住まい,34.345919,134.014742,○,○,○,○,○,○,○,　,9時 ～ 16時
469,リラクゼーションサロンマール,りらくぜーしょんさろんまーる,761-8044,香川県高松市円座町字道下603-1,087-899-8699,087-899-8699,info@relax-maar.jp,http://www.relax-maar.jp,円座駅,10時 ～ 21時,年末年始、お盆,理美容・整体,34.281798,134.011453,○,○,　,　,　,○,○,　,10時 ～ 21時
470,リーガホテルゼスト高松,りーがほてるぜすとたかまつ,760-0025,香川県高松市古新町9番1号,087-822-3555,,,http://www.rihga-takamatsu.co.jp/,,0時～24時（24時間営業）,無休,,34.345363,134.048902,○,　,　,○,　,　,　,　,0時～24時（24時間営業）
471,ママのための笑顔サロン　Le ange,るあんじゅ,769-0222,香川県綾歌郡宇多津町大橋2628-388,0877-49-5277,,,http://leange-k.net,,時 ～ 時、時 ～ 時、時 ～ 時,隔週土曜日・日曜日・祝日・お盆・年末年始,,34.315867,133.824665,○,○,○,○,　,　,　,　,10時～16時
472,株式会社　レオックス,れおっくす,762-0012,香川県坂出市林田町540-1,0120-47-0908,0877-47-1491,reox@lime.ocn.ne.jp,http://www.reox.jp,,9時 ～ 18時,,住まい,34.326296,133.89521,○,○,○,　,　,○,○,　,9時 ～ 17時
473,LEONiA,れおにあ,760-0029,香川県高松市丸亀町13番地3　高松丸亀町参番街東館1階,087-851-6075,,,http://www.leonia.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,月曜日,,34.344461,134.05041,○,○,　,　,　,　,　,　,11時～20時
474,レオハウス丸亀店,れおはうす　まるがめてん,765-0032,香川県善通寺市原田町1053-1,0877-63-5144,0877-63-5855,,http://www.leohouse.jp/,市民バス停留所（JA瀧川支店）,9時 ～ 20時,水曜日,住まい,34.248145,133.788513,○,○,○,　,○,○,○,○,10時～20時
475,レオハウス高松店,れおはうすたかまつてん,761-8051,香川県高松市西春日町1045-1,087-814-8822,,,http://www.leohouse.jp,,時 ～ 時、時 ～ 時、時 ～ 時,水曜日,,34.321476,134.030609,○,○,○,　,　,　,　,　,10時～20時
476,レクザムホール（香川県県民ホール）,れくざむほーる(かがわけんけんみんほーる),760-0030,香川県高松市玉藻町9番10号,087-823-3131,087-823-3124,,,ＪＲ高松駅より徒歩8分　琴電高松築港駅より徒歩8分,9時 ～ 22時,年中無休　※設備保守点検等のため臨時に休館することがあります。,その他,34.350476,134.053015,○,○,○,　,○,　,　,　,9時 ～ 22時
477,わはは・ひろば坂出,わははひろばさかいで,762-0001,香川県坂出市京町2-1-5,0877-45-6586,,,http://www.npo-wahaha.net/hiroba/,,10時～15時,土曜日・日曜日・祝祭日・年末年始・お盆,,34.315958,133.856738,○,○,○,　,　,　,　,　,10時～15時
478,わはは・ひろば高松,わははひろばたかまつ,760-0042,香川県高松市大工町1-4,087-822-5589,,,http://www.npo-wahaha.net/,,10時～16時,土曜日・日曜日・祝日（月1回土曜日開館）,,34.345002,134.051041,○,○,○,　,　,　,　,　,10時～16時
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
